acción/A todo gas.txt,"[0.0, 3.178470410233162, 2.2823823856765264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.2823823856765264, 0.0, 0.0, 1.6945957207744073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.584352098226543, 2.505525936990736, 0.0, 0.0, 0.0, 0.0, 0.0, 1.962491665793885, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
acción/A todo gas - Tokyo race.txt,"[0.0, 6.356940820466324, 2.2823823856765264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1192315758708453, 0.0, 0.0, 0.0, 0.0, 0.0, 8.400243315530286, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9812458328969424, 4.564764771353053, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.55131029102525, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bélico/La redada.txt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.589235205116581, 0.0, 0.0, 2.4023335342569316, 0.0, 0.0, 0.0, 1.4275329355253619, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4069136483226263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4718687493454137, 0.0, 2.1000608288825715, 0.0, 4.767705615349743, 0.0, 0.0, 1.1192315758708453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
acción/Venganza - Conexión Estambul.txt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3891914415488147, 0.0, 0.0, 2.1000608288825715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0586069540544105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.32687094064909, 2.2823823856765264, 0.0, 0.0, 0.0, 1.3458889464848516, 0.0, 0.0, 0.0]"
acción/2 Fast 2 Furious - A todo gas 2.txt,"[0.0, 1.589235205116581, 4.564764771353053, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7137664677626809, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4069136483226263, 0.0, 2.505525936990736, 0.0, 0.0, 0.0, 0.0, 2.117213908108821, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.32687094064909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
bélico/Enemigo a las puertas.txt,"[1.001448540214462, 0.0, 0.0, 0.0, 0.0, 0.0, 2.1000608288825715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6945957207744073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3891914415488147, 0.26124036483412844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7921760491132714, 0.0, 0.0, 0.0, 5.437136269292372, 0.0]"
acción/Kill Bill - Volumen 2.txt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9459101490553132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.564764771353053, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.011051873981472, 0.0, 0.0]"
bélico/Nacido el 4 de Julio.txt,"[0.0, 0.0, 0.0, 0.0, 1.252762968495368, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1192315758708453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3918605472511927, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9459101490553132, 1.1192315758708453, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
terror/Expediente Warren.txt,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.8123787564307907, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7137664677626809, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.9459101490553132, 0.0, 0.0, 2.6882640736699073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4906229164484712, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6729444732424258, 0.0, 0.0, 0.0]"
acción/Venganza.txt,"[0.0, 0.0, 0.0, 0.0, 1.252762968495368, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.437136269292372, 1.0586069540544105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6729444732424258, 0.0, 0.0, 0.0]"
